past_score,attendance_pct,sleep_hours,subject_difficulty,study_hours_needed
99,61,7.2,5,5.6
99,54,6.3,3,4.0
84,86,6.7,5,4.0
80,81,8.7,5,5.2
68,58,5.9,5,6.7
54,90,8.8,5,4.9
84,84,8.5,2,2.7
40,68,5.0,2,6.6
64,97,4.3,3,6.0
46,65,4.5,1,6.6
48,52,4.1,5,9.0
63,69,4.5,1,4.7
40,73,7.4,1,5.2
83,82,4.4,3,5.1
47,73,5.6,5,8.1
63,60,8.2,5,5.9
50,98,4.1,4,6.7
90,57,8.1,1,3.0
56,85,5.4,1,5.3
47,87,4.6,2,6.5
74,89,7.5,4,4.7
74,69,7.1,2,3.9
72,84,8.4,2,3.5
98,97,7.7,2,1.4
44,74,8.0,3,5.4
81,84,5.4,3,5.4
78,74,4.9,2,4.9
97,78,7.8,4,3.5
80,67,8.0,1,3.4
67,95,9.0,4,4.8
46,67,6.1,5,7.6
48,51,5.9,3,6.9
47,84,7.9,1,3.9
51,65,5.7,1,5.9
73,90,8.7,5,5.3
72,85,8.3,5,5.8
87,82,6.1,2,4.1
94,53,7.8,3,3.2
62,82,7.8,3,4.9
63,63,4.5,4,6.6
76,70,8.5,2,3.2
74,97,6.5,2,3.7
83,69,8.1,2,3.8
79,57,5.6,2,4.5
61,56,8.5,3,4.1
66,52,5.9,3,6.3
74,66,4.1,2,6.8
40,82,8.5,4,6.0
74,97,4.5,1,3.8
76,61,5.6,1,5.2
86,71,8.8,4,4.3
53,71,8.8,2,4.6
42,95,6.9,3,5.9
40,79,7.2,1,5.1
44,87,6.2,5,6.7
65,87,5.5,5,5.9
94,94,5.6,4,5.2
53,57,7.4,2,5.6
78,76,7.8,1,3.0
66,76,8.0,2,4.0
48,83,7.9,1,4.5
54,70,4.5,4,8.7
54,79,6.5,4,6.6
65,82,4.3,5,6.9
81,77,6.7,2,3.7
99,96,6.2,5,4.8
52,82,8.4,2,4.1
90,54,5.8,5,6.6
71,97,4.6,3,3.9
78,68,4.7,3,5.5
88,53,7.8,3,4.6
91,84,7.1,3,4.1
71,98,4.5,1,3.5
43,66,4.4,3,6.8
69,93,7.5,4,4.6
76,77,4.4,4,5.6
62,79,8.1,1,3.4
78,78,7.5,3,4.2
84,95,4.4,3,3.9
54,55,4.4,3,7.7
82,84,8.9,5,4.3
68,90,5.9,2,4.9
75,86,5.9,5,5.0
52,73,8.1,2,4.3
71,78,8.7,3,4.3
